,freeforms
unethical seductions,1
who among us has not had a crush on a gay older man?,1
Post-canon Bajor,1
Bajoran Religion,1
Springball,1
bajoran prophecy,1
Marriage Proposal,1
love and sex in religion,1
references to occupational violence,1
All the soft tropes are right here folks come and get 'em!,1
springball championships,1
When two people love each other,1
bajoran funerals,1
boring relationship stuff,1
do not bring me your kira and dukat bullshit,1
episode tag: return to grace,1
pssst ... everyone is bisexual in the 24th century,1
they really didn't spend enough time showing why kira's relationships were actually good,1
this is really just about two people who love each other having honest conversations and good sex,1
Kira doesn't know what's good for her episode 342634,1
Light Dom/sub,1
Episode: s04e22 For the Cause,1
non-toxic religious concepts,1
Sisko Family Feels,1
Child Neglect,1
Distorted Reality,1
Catfight,1
Mentioned Canonical Character Deaths,1
Dawn of the Eagles,1
Novelization,1
episode tag: the collaborator,1
Age Swap,1
the Kendra Valley Massacre,1
the kai,1
Ziyal POV,1
Episode: s05e11 The Darkness and the Light,1
cw: references to public beatings,1
Molestation,1
Odo Sisko and Dax are just mentioned,1
Young Love,1
Wedding Fluff,1
Tora Ziyal Lives,1
Protective Siblings,1
These two getting to be happy and young and free damnit,1
Siblings raising siblings,1
Star Trek: Deep Space Nine - The Darkness and the Light,1
Survivor Guilt,1
Mildly Dubious Consent,1
Submission,1
cardassian language,1
Smut adjacent,1
ost: don't leave home by dido,1
ost: second chances by gregory alan iskov,1
talk of foreplay,1
ost: sons and daughters by the decemberists,1
space diasporas,1
not quite smut,1
there's a theme here,1
Episode: s04e26 Broken Link,1
Episode: s05e07 Let He Who Is Without Sin...,1
Garak is an angsty fella,1
Garak shouldn't be drinking like this,1
garak-centric,1
Slight Canon Divergence,1
Implied Smut,1
Plot What Plot/Porn Without Plot,1
angst and alcohol,1
self-edited may the Prophets forgive me,1
Digital Art,1
Fandom Kombat 2021,1
Betazoid History,1
Gallitep,1
Imzadi,1
kira and garak friendship ft. garashir,1
extremely reluctant barely-even-allies to co-parents to family,1
leave the snake man ALONE,1
Tactile delusions,1
The Occupation,1
mentions of kira's family,1
rebuilding from the occupation,1
cw: mentions of canon-typical violence,1
cw: mentions of coerced sex,1
episode tag: crossover,1
the mirror universe,1
protective Garak,1
he's creepy,1
child grooming,1
set during second occupation of terok nor,1
cardassian and bajoran cultural clashes (and culture melds),1
warning: dukat,1
Accidental Baby Acquisition,1
Julian Bashir needs a warm cup of Tarkalean tea and a blanket,1
Heavy Angst,1
Garak is very sweet to Julian,1
Delusions,1
Found Families,1
Mentions of Lactation,1
Childhood Sexual Abuse,1
can you tell,1
Vaginal Fingering,1
Glittery Tears,1
Lube,1
Alternate Timelines,1
Warm and Fuzzies,1
some of this is whack,1
wtf is this i don't even,1
Aftermath of Violence,1
And the Cardassian legal system,1
Concentration Camps,1
Implied/Referenced Sexual Harassment,1
Offscreen Violence,1
Rape Aftermath,1
Sex Work,1
which should be it's own tag tbqh,1
Episode: s05e06 Timeless,1
Gen Work,1
Psychological Trauma,1
A bit of gore,1
But Graphic Threats,1
Exhaustion,1
I think I made a lot of Worf's issues worst in this one,1
In Self-Defence though,1
Mutilation,1
The first part of the fic is pretty intense,1
but seriously,1
no actual rape,1
Vorta - Freeform,1
Pseudo-Incest,1
alternate universe where Bajor and Cardassia were two of the founding races of the Federation,1
Alternative Universe - FBI,1
Mind Games,1
Chess,1
Nausicaans (Star Trek),1
Non-Explicit Sex,1
Starfleet Intelligence,1
Matchmaking,1
Eugenics,1
Reproductive Coercion,1
institutionalization,1
Plotty,1
Sleepwalking,1
Emotional Manipulation,1
Moral Ambiguity,1
There's A Tag For That,1
(also don't worry we don't spend a lot of time there),1
(isn't there always when Dukat is involved),1
(not the fun kind),1
(the truly fucked up kind),1
Alternate Universe - Canon,1
Alternate Universe - Fantasy,1
But she still loves him and I can't seem to stop her so,1
Dukat is a fuckboy,1
Harems,1
Implied/Referenced Cheating,1
Naprem is a crybaby,1
Alien Character(s),1
Brotherhood,1
Female Character of Color,1
Hauntings,1
just so much pining,1
Healing,1
Nonverbal Communication,1
Post-War,1
Team as Family,1
Trill Culture and Taboo,1
Trill Worldbuilding,1
Oviposition,1
Zero-gravity sex,1
Emotional/Psychological Abuse,1
creepy mentor is creepy,1
Implied Possession,1
Podfic Available,1
Religious Imagery & Symbolism,1
Southern Gothic AU,1
Drama & Romance,1
Infection,1
Infidelity,1
Light Pain Play,1
Making Love,1
Unrequited Crush,1
Face Sitting,1
Recreational Drug Use,1
Threesome,1
everyone is bi,1
Pining,1
Past Relationships,1
Bisexual Characters,1
Post Star Trek: DS9,1
Star Trek Prime Universe,1
Strong Female Characters,1
The Borg,1
Law Enforcement,1
United Federation of Planets,1
Demisexual Character,1
"Skrain ""patent overreaction"" Dukat making stupid ass choices and then regretting them. a lot",1
no death this time,1
wild,1
Bajoran Submission,1
Sexual Assault,1
Starvation,1
Stockholm Syndrome,1
Cardassian Sleaziness,1
Cardassian oppression,1
Endgame,1
Friends With Benefits,1
Rated M Just To Be Safe,1
Trans Male Character,1
but it’s very very awkward,1
holy cripes i have felt a new level of awkward writing this,1
i tried to write some serious representation and it turned into this i’m sorry,1
Implied/Referenced Child Abuse,1
Alternate Universe - Modern Setting,1
is it pegging if its a female pseudopenis?,1
Telepathic Link,1
Truth Serum,1
A.I. to Human,1
Alien Rituals,1
Empathic Bond,1
Enemy Lovers,1
Exile,1
Fascination,1
New Year's Eve,1
Opposites Attract,1
Ownership,1
Robots,1
Character Turned Into Vampire,1
hostage,1
Vampire Sex,1
Deal with a Devil,1
Discussion of Abortion,1
Everybody Dies,1
Genocide,1
Heroes to Villains,1
Infanticide,1
Loss of Faith,1
Marriage,1
Miscarriage,1
Poor Life Choices,1
Intoxication,1
Love Story,1
mature woman appreciation,1
Nasty Space Battles,1
Backstory,1
Religious Themes & References,1
Alien Mythology/Religion,1
Cuddling and Snuggling,1
Alternate Universe - Fusion,1
Alternate Universe - Science Fiction,1
Alternate Universe - Star Trek,1
Big Bang Challenge,1
Codependency,1
Don't Have to Know Canon,1
Elsewhere Fic,1
Purple Prose,1
Psychological Drama,1
Slap Slap Kiss,1
Space Opera,1
Star Trek Fusion,1
Supporting Character Death,1
True Love,1
Wordcount: 30.000-50.000,1
Awkward Sexual Situations,1
Discovering Bisexuality,1
Festivals,1
Food Sharing,1
Unwanted Sexual Pursuit,1
Space Flight,1
sad ending but kind of happy epilogue,1
seriously this is not a happy fic,1
Deception,1
possible dubcon,1
The Garak/Bashir Mysteries,1
Relationship Study,1
BDSM Scene,1
Translation,1
Mischief,1
Barter,1
Debauched,1
but that doesn't mean it's pure,1
it might be love,1
trade,1
