relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated,Total
Grilka/Natima Lang,0,0,1,1,0,2
Ezri Dax/Jadzia Dax/Kira Nerys,1,0,1,0,0,2
Jadzia Dax/Odo,0,1,0,1,0,2
Jadzia Dax/Kira Nerys/Odo,0,0,0,1,1,2
Amsha Bashir/Richard Bashir,0,2,0,0,0,2
Keevan/Skrain Dukat,0,1,0,1,0,2
Dax/non-cast,0,0,1,1,0,2
Corat Damar/Julian Bashir,1,1,0,0,0,2
Curzon Dax/Quark,0,2,0,0,0,2
Enabran Tain/non-cast,0,1,0,1,0,2
Kilana/non-cast,0,0,1,1,0,2
Jake Sisko/Kesha,1,1,0,0,0,2
Dax/Worf,0,2,0,0,0,2
Kira Nerys/non-cast/non-cast,2,0,0,0,0,2
Benjamin Sisko/Ezri Dax,0,0,0,2,0,2
K'Ehleyr/Worf,1,1,0,0,0,2
Elim Garak/Julian Bashir/Keiko O'Brien/Miles O'Brien,0,0,1,1,0,2
Barkan Lokar/Elim Garak/Palandine,0,0,0,2,0,2
Odo/Worf,1,1,0,0,0,2
Ishka/Keldar,0,1,0,1,0,2
Akellen Macet/Elim Garak,0,1,1,0,0,2
Corat Damar/Mila Garak,0,2,0,0,0,2
Morn/Quark,1,1,0,0,0,2
Ishka/Zek,0,1,1,0,0,2
Elim Garak/Lwaxana Troi,0,0,1,1,0,2
Elim Garak/Julian Bashir/Julian Bashir,0,1,0,1,0,2
Benjamin Sisko/Rom,1,0,0,1,0,2
Winn Adami/non-cast,0,1,1,0,0,2
Julian Bashir/Leeta/Rom,1,1,0,0,0,2
Leeta/Winn Adami,0,2,0,0,0,2
Gelnon/non-cast,0,0,1,0,0,1
Eris/non-cast,0,0,1,0,0,1
Deyos/non-cast,0,0,1,0,0,1
Julian Bashir/Kaga,1,0,0,0,0,1
Luaran/non-cast,0,0,1,0,0,1
Corat Damar/Ezri Dax/Kira Nerys/Weyoun,0,0,0,1,0,1
Elim Garak/Kaga,1,0,0,0,0,1
Benjamin Sisko/Tora Ziyal,0,0,0,1,0,1
Kira Nerys/Weyoun,0,0,0,1,0,1
Kira Nerys/Odo/non-cast,0,0,0,1,0,1
Grilka/Natima Lang/Quark,0,0,0,1,0,1
Benjamin Sisko/Morn/Zek/non-cast,0,0,1,0,0,1
Jadzia Dax/Julian Bashir/non-cast,0,0,0,0,1,1
Keevan/Remata'Klan/non-cast,0,0,0,1,0,1
Rom/non-cast,0,1,0,0,0,1
Curzon Dax/non-cast,0,1,0,0,0,1
Torias Dax/non-cast,0,1,0,0,0,1
Kimara Cretak/T'Rul,0,0,1,0,0,1
Benjamin Sisko/Miles O'Brien,1,0,0,0,0,1
Elim Garak/Ezri Dax/Kira Nerys/non-cast,0,0,0,1,0,1
Julian Bashir/Lieutenant Watley,0,1,0,0,0,1
Mavek/non-cast,0,0,0,1,0,1
Benjamin Sisko/Curzon Dax/Jadzia Dax,0,0,0,1,0,1
Jadzia Dax/Kilana,0,0,1,0,0,1
Kaga/non-cast,0,0,1,0,0,1
Jadzia Dax/Kasidy Yates,0,0,0,1,0,1
Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Worf,0,1,0,0,0,1
Benjamin Sisko/Q,1,0,0,0,0,1
Elim Garak/Julian Bashir/Keiko O'Brien,0,0,0,1,0,1
Cox/Kira Nerys,0,1,0,0,0,1
Cox/non-cast,0,1,0,0,0,1
Dax/Elim Garak/Julian Bashir/Worf,0,0,0,1,0,1
Skrain Dukat/Weyoun/Weyoun,0,0,0,1,0,1
Weyoun/Weyoun,0,0,0,1,0,1
Kasidy Yates/Keiko O'Brien/Miles O'Brien,1,0,0,0,0,1
