relationshipspairslash,No Archive Warnings Apply,Choose Not To Use Archive Warnings,Graphic Depictions Of Violence,Major Character Death,Rape/Non-Con,Underage
Julian Bashir/Julian Bashir,75.0,25.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Odo,33.300000000000004,33.300000000000004,0.0,0.0,33.300000000000004,0.0
Vreenak/non-cast,0.0,100.0,0.0,0.0,0.0,0.0
Jadzia Dax/Keiko O'Brien,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Rotan'talag/Weyoun,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Jack/Julian Bashir,0.0,100.0,0.0,0.0,0.0,0.0
Corat Damar/Skrain Dukat/Weyoun,0.0,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Michael Eddington,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Miles O'Brien,100.0,0.0,0.0,0.0,0.0,0.0
Eris/Luaran,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Enabran Tain/Julian Bashir,20.0,0.0,40.0,20.0,20.0,0.0
Julian Bashir/non-cast/non-cast,40.0,0.0,20.0,20.0,20.0,0.0
Felix/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Weyoun,66.7,0.0,33.300000000000004,0.0,0.0,0.0
Corat Damar/Ezri Dax,75.0,25.0,0.0,0.0,0.0,0.0
Arissa/Odo,75.0,25.0,0.0,0.0,0.0,0.0
Keevan/Yelgrun,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Furel/Lupaza,66.7,0.0,0.0,0.0,33.300000000000004,0.0
Alexander Rozhenko/Nog,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Aamin Marritza/Iliana Ghemor,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Jadzia Dax/Kira Nerys/Worf,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Mekor Dukat/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Julian Bashir/Worf,100.0,0.0,0.0,0.0,0.0,0.0
Tora Naprem/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Iloja of Prim/Tobin Dax,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Goran'Agar/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0
Boheeka/Quark,33.300000000000004,66.7,0.0,0.0,0.0,0.0
Kira Nerys/Worf,0.0,100.0,0.0,0.0,0.0,0.0
Enabran Tain/Kelas Parmak,0.0,100.0,0.0,0.0,0.0,0.0
Dax/Lenara Kahn,100.0,0.0,0.0,0.0,0.0,0.0
Opaka/Winn Adami,50.0,50.0,0.0,0.0,0.0,0.0
Worf/non-cast/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Laas/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Quark/Vic Fontaine,100.0,0.0,0.0,0.0,0.0,0.0
Gilora Rejal/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Joseph Sisko/Sarah Sisko,50.0,0.0,0.0,0.0,50.0,0.0
Benjamin Sisko/Vic Fontaine,50.0,50.0,0.0,0.0,0.0,0.0
Kira Nerys/Winn Adami,50.0,50.0,0.0,0.0,0.0,0.0
Natima Lang/Tora Naprem,100.0,0.0,0.0,0.0,0.0,0.0
Borath/non-cast,0.0,50.0,50.0,0.0,0.0,0.0
Joseph Sisko/non-cast,0.0,0.0,0.0,0.0,100.0,0.0
Corat Damar/Keevan,100.0,0.0,0.0,0.0,0.0,0.0
Reese/non-cast,100.0,0.0,0.0,0.0,0.0,0.0
Jadzia Dax/Melora Pazlar,100.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Skrain Dukat,50.0,50.0,0.0,0.0,0.0,0.0
Elim Garak/Enabran Tain,66.7,33.300000000000004,0.0,0.0,0.0,0.0
Chalan Aroya/Odo,100.0,0.0,0.0,0.0,0.0,0.0
Enabran Tain/Martok,100.0,0.0,0.0,0.0,0.0,0.0
Julian Bashir/Odo,100.0,0.0,0.0,0.0,0.0,0.0
