relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other,Total
Quark/Skrain Dukat,1,0,0,0,0,0,0,1
Mavek/non-cast,0,0,1,0,0,0,0,1
Julian Bashir/Kaga,1,0,0,0,0,0,0,1
Benjamin Sisko/Weyoun,1,0,1,0,0,0,0,2
Amsha Bashir/Elim Garak,1,0,1,0,1,0,0,3
Benjamin Sisko/Miles O'Brien,1,0,0,0,0,0,0,1
Benjamin Sisko/Q,0,0,0,0,0,1,0,1
Elim Garak/Richard Bashir,1,0,1,0,1,0,0,3
Jasper Hale/Rosalie Hale,0,0,0,0,1,0,0,1
Benjamin Sisko/Captain Solok,0,0,0,0,1,0,0,1
Ezri Dax/Garak,0,0,1,1,1,0,0,3
Alexander Rozhenko/Julian Bashir,1,0,0,0,0,0,0,1
Jadzia Dax/Kasidy Yates,0,0,0,1,0,0,0,1
Julian Bashir/Lieutenant Watley,0,0,1,0,0,0,0,1
Luaran/non-cast,0,1,0,0,0,0,0,1
Kaga/non-cast,0,0,0,0,0,0,1,1
Benjamin Sisko/Tora Ziyal,1,0,0,1,1,0,0,3
Elim Garak/Kaga,1,0,0,0,0,0,0,1
Gelnon/non-cast,0,1,0,0,0,0,0,1
Eris/non-cast,0,1,0,0,0,0,0,1
Benjamin Sisko/Dax,0,0,1,0,1,0,1,3
Kimara Cretak/T'Rul,1,1,1,1,0,0,1,5
Kasidy Yates/Weyoun,1,0,1,0,0,0,0,2
Kathryn Janeway/non-cast,1,0,1,1,1,0,0,4
Curzon Dax/Elim Garak,0,0,0,0,1,0,0,1
Deyos/non-cast,0,1,0,0,0,0,0,1
Bareil Antos/Morn,1,0,1,1,0,0,0,3
Kira Nerys/Weyoun,1,0,1,1,1,0,0,4
Benjamin Sisko/Morn,1,0,1,0,0,0,0,2
Boday/Julian Bashir,1,0,0,0,0,0,0,1
Weyoun/Weyoun,1,0,0,0,1,0,0,2
Corat Damar/Reader,0,0,1,0,0,0,0,1
Ellis Gareth/Julian Bashir,1,0,0,0,0,0,0,1
Curzon Dax/non-cast,1,0,1,0,0,0,0,2
Dax/Garak,0,0,0,0,1,0,0,1
Torias Dax/non-cast,1,0,1,0,0,0,0,2
Cox/non-cast,1,0,1,0,0,0,0,2
Cox/Kira Nerys,1,0,1,0,0,0,0,2
Kira Nerys/Natima Lang,1,1,0,1,0,0,0,3
Pel/non-cast,1,0,0,0,0,0,0,1
Leeta/Quark,0,0,1,0,0,0,0,1
Elim Garak/Winn Adami,0,0,1,0,0,0,0,1
Emergency Medical Hologram Mark II/non-cast,1,0,1,1,0,0,0,3
Ishka/Jadzia Dax,0,0,0,1,0,0,0,1
Odo/Skrain Dukat,1,0,1,1,1,0,0,4
Elim Garak/Opaka,0,0,1,0,0,0,0,1
Elim Garak/Luther Sloan,1,0,0,0,0,0,0,1
Lauren/non-cast,0,1,1,0,0,0,0,2
Jadzia Dax/Jennifer Sisko,0,0,0,1,0,0,0,1
Vash/non-cast,0,0,1,0,0,0,0,1
Borath/Weyoun,1,1,1,0,1,0,0,4
Throlo Sh'shirros/ToloS | Qolar,1,0,1,1,0,0,0,3
Luaran/Yelgrun,0,1,0,0,1,0,0,2
Julianna/non-cast,1,0,1,0,1,0,0,3
Lantash/Sam Carter,1,0,1,0,1,0,0,3
Martouf/Sam Carter,1,0,1,0,1,0,0,3
Iliana Ghemor/Tora Ziyal,1,1,0,1,0,0,0,3
Ezri Dax/Vic Fontaine,0,0,1,0,0,0,0,1
Jean-Luc Picard/non-cast,1,1,1,1,1,0,0,5
Ezri Dax/Lauren,0,0,0,1,0,0,0,1
Zek/background Leeta,1,0,0,0,0,0,0,1
Ezri Dax/Skrain Dukat,1,1,1,0,0,0,0,3
Deyos/Weyoun,0,1,0,0,1,0,0,2
Skrain Dukat/Vreenak,0,0,1,0,1,0,0,2
Dax/Kira Nerys,0,0,0,1,0,0,0,1
Martok/Sirella,0,1,1,0,0,0,0,2
Elim Garak/Keevan,1,0,0,0,0,0,0,1
Ryan Ross/Spencer Smith,1,0,1,0,1,0,1,4
Victoria Asher/non-cast,1,0,1,0,1,0,1,4
Mareel/Verad,0,0,1,0,0,0,0,1
Kira Nerys/Vic Fontaine,0,0,1,0,0,0,0,1
Sikozu Svala Shanti Sugaysi Shanu/non-cast,1,0,0,0,1,0,0,2
Troy Barnes/non-cast,1,0,0,0,1,0,0,2
Alexander Rozhenko/Lauren,1,0,1,1,0,0,0,3
Dax/Jadzia Dax,0,0,0,0,0,0,1,1
Bareil Antos/Winn Adami,0,0,1,0,0,0,0,1
William Riker/non-cast,1,1,1,0,1,0,0,4
Boday/Jadzia Dax,1,0,1,0,1,0,0,3
Jake Sisko/Laira,1,0,1,0,1,0,0,3
Jake Sisko/Mardah,1,0,1,0,1,0,0,3
Jennifer Sisko/Miles O'Brien,0,0,0,0,1,0,0,1
Prinadora/Rom,0,0,1,0,0,0,1,2
Lela Dax/non-cast,0,0,0,1,0,0,1,2
Corat Damar/Gul Rusot,1,0,1,1,1,0,0,4
Lenara Kahn/background Grilka,1,0,0,0,1,0,0,2
Julian Bashir/Tom Paris,1,0,0,0,0,0,0,1
Elim Garak/Q,1,0,0,0,0,0,0,1
Elim Garak/Jack,1,0,0,0,0,0,0,1
Corat Damar/Jadzia Dax,0,0,1,0,0,0,0,1
Athra Dukat/Tora Naprem,0,0,1,1,0,0,0,2
Kira Nerys/Tahna Los,0,1,0,0,0,0,0,1
Kira Nerys/Kira Reon,0,1,0,0,0,0,0,1
Alexander Rozhenko/non-cast,0,0,1,0,0,0,0,1
Kira Meru/non-cast,0,0,0,0,1,0,0,1
Kira Nerys/Lenara Kahn,0,0,0,1,0,0,0,1
Lwaxana Troi/Mora Pol,0,1,1,0,0,0,1,3
Gowron/Julian Bashir,1,0,0,0,0,0,0,1
Elim Garak/Kai Winn,1,0,0,1,0,0,0,2
Michael Eddington/Rebecca Sullivan,0,1,1,0,0,0,0,2
Deral/Jadzia Dax,0,0,1,0,0,0,0,1
Kira Nerys/OFC,0,0,0,0,1,0,0,1
Gowron/non-cast,0,0,1,0,0,0,0,1
Dutch | Yalena Yardeen/non-cast,0,1,0,0,0,0,0,1
Tuvok (Star Trek)/non-cast,0,1,1,0,0,0,0,2
Elim Garak/Procal Dukat,1,0,0,0,0,0,0,1
Keevan/Kilana,1,0,1,0,0,0,0,2
Gerard Way/non-cast,1,0,0,0,0,0,0,1
Quark/Vash,1,0,1,0,0,0,0,2
Miles O'Brien/Owen Lars,1,0,1,0,0,0,0,2
Bareil Antos/Julian Bashir,1,0,0,0,0,0,0,1
Miles O'Brien/Worf,1,0,0,1,0,0,0,2
Jadzia Dax/Jadzia Dax,0,0,0,1,1,0,0,2
Vislor Turlough/non-cast,0,0,0,0,1,0,0,1
Lwaxana Troi/Quark,1,0,1,0,1,0,0,3
Elim Garak/Morn,1,0,0,0,0,0,0,1
Elim Garak/Worf (Star Trek: TNG,1,0,0,0,0,0,0,1
Kimara Cretak/non-cast,0,0,0,1,0,0,0,1
Jack/non-cast,1,0,0,0,0,0,0,1
Julian Bashir/Kukalaka,0,0,0,0,0,0,1,1
Tekeny Ghemor/non-cast,1,1,0,0,0,0,0,2
Kai Winn/Skrain Dukat,0,0,1,0,0,0,0,1
Gilora Rejal/Nal Dejar,0,0,0,1,0,0,0,1
Corat Damar/Niala Damar,0,0,1,0,0,0,0,1
Kelas Parmak/Pythas Lok,1,0,0,0,0,0,0,1
Male OC/non-cast,1,0,0,0,1,0,0,2
justice league/non-cast,0,0,1,1,1,0,1,4
Julian Bashir/Lauren,0,0,1,0,0,0,0,1
Total,5753,1042,1861,1167,835,166,331,11155
