,freeforms
Mild Dom-Sub Dynamics,1
Mild Fisting,1
Penetrative Sex,1
Emotional Manipulation,1
Safewords,1
Safe Sane and Consensual,1
Rape Fantasy,1
Overstimulation,1
Omorashi,1
Forced Orgasm,1
Bullying,1
POV Female Character,1
Mind Games,1
sorcery,1
Politics,1
so many lesbians,1
sibling relationships,1
shifting pov,1
Worldbuilding,1
Transphobia,1
Trans Julian Bashir,1
Tailed Cardassians,1
Self-indulgent Aesthetics,1
Revolution,1
Menstrual Sex,1
