relationshipspairslash,General Audiences,Teen And Up Audiences,Mature,Explicit,Not Rated
Corat Damar/Keevan,0.0,0.0,0.0,100.0,0.0
Reese/non-cast,0.0,50.0,50.0,0.0,0.0
Jadzia Dax/Melora Pazlar,100.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Skrain Dukat,50.0,0.0,0.0,50.0,0.0
Elim Garak/Enabran Tain,0.0,50.0,50.0,0.0,0.0
Chalan Aroya/Odo,0.0,100.0,0.0,0.0,0.0
Enabran Tain/Martok,0.0,50.0,50.0,0.0,0.0
Julian Bashir/Odo,0.0,50.0,0.0,0.0,50.0
Julian Bashir/Q,0.0,50.0,50.0,0.0,0.0
Jaro Essa/Winn Adami,50.0,50.0,0.0,0.0,0.0
Corat Damar/Skrain Dukat/non-cast,0.0,0.0,50.0,50.0,0.0
Grilka/Natima Lang,0.0,0.0,50.0,50.0,0.0
Ezri Dax/Jadzia Dax/Kira Nerys,50.0,0.0,50.0,0.0,0.0
Jadzia Dax/Odo,0.0,50.0,0.0,50.0,0.0
Jadzia Dax/Kira Nerys/Odo,0.0,0.0,0.0,50.0,50.0
Amsha Bashir/Richard Bashir,0.0,100.0,0.0,0.0,0.0
Keevan/Skrain Dukat,0.0,50.0,0.0,50.0,0.0
Dax/non-cast,0.0,0.0,50.0,50.0,0.0
Corat Damar/Julian Bashir,50.0,50.0,0.0,0.0,0.0
Curzon Dax/Quark,0.0,100.0,0.0,0.0,0.0
Enabran Tain/non-cast,0.0,50.0,0.0,50.0,0.0
Kilana/non-cast,0.0,0.0,50.0,50.0,0.0
Jake Sisko/Kesha,50.0,50.0,0.0,0.0,0.0
Dax/Worf,0.0,100.0,0.0,0.0,0.0
Kira Nerys/non-cast/non-cast,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Ezri Dax,0.0,0.0,0.0,100.0,0.0
K'Ehleyr/Worf,50.0,50.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Keiko O'Brien/Miles O'Brien,0.0,0.0,50.0,50.0,0.0
Barkan Lokar/Elim Garak/Palandine,0.0,0.0,0.0,100.0,0.0
Odo/Worf,50.0,50.0,0.0,0.0,0.0
Ishka/Keldar,0.0,50.0,0.0,50.0,0.0
Akellen Macet/Elim Garak,0.0,50.0,50.0,0.0,0.0
Corat Damar/Mila Garak,0.0,100.0,0.0,0.0,0.0
Morn/Quark,50.0,50.0,0.0,0.0,0.0
Ishka/Zek,0.0,50.0,50.0,0.0,0.0
Elim Garak/Lwaxana Troi,0.0,0.0,50.0,50.0,0.0
Elim Garak/Julian Bashir/Julian Bashir,0.0,50.0,0.0,50.0,0.0
Benjamin Sisko/Rom,50.0,0.0,0.0,50.0,0.0
Winn Adami/non-cast,0.0,50.0,50.0,0.0,0.0
Julian Bashir/Leeta/Rom,50.0,50.0,0.0,0.0,0.0
Leeta/Winn Adami,0.0,100.0,0.0,0.0,0.0
Gelnon/non-cast,0.0,0.0,100.0,0.0,0.0
Eris/non-cast,0.0,0.0,100.0,0.0,0.0
Deyos/non-cast,0.0,0.0,100.0,0.0,0.0
Julian Bashir/Kaga,100.0,0.0,0.0,0.0,0.0
Luaran/non-cast,0.0,0.0,100.0,0.0,0.0
Corat Damar/Ezri Dax/Kira Nerys/Weyoun,0.0,0.0,0.0,100.0,0.0
Elim Garak/Kaga,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Tora Ziyal,0.0,0.0,0.0,100.0,0.0
Kira Nerys/Weyoun,0.0,0.0,0.0,100.0,0.0
Kira Nerys/Odo/non-cast,0.0,0.0,0.0,100.0,0.0
Grilka/Natima Lang/Quark,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Morn/Zek/non-cast,0.0,0.0,100.0,0.0,0.0
Jadzia Dax/Julian Bashir/non-cast,0.0,0.0,0.0,0.0,100.0
Keevan/Remata'Klan/non-cast,0.0,0.0,0.0,100.0,0.0
Rom/non-cast,0.0,100.0,0.0,0.0,0.0
Curzon Dax/non-cast,0.0,100.0,0.0,0.0,0.0
Torias Dax/non-cast,0.0,100.0,0.0,0.0,0.0
Kimara Cretak/T'Rul,0.0,0.0,100.0,0.0,0.0
Benjamin Sisko/Miles O'Brien,100.0,0.0,0.0,0.0,0.0
Elim Garak/Ezri Dax/Kira Nerys/non-cast,0.0,0.0,0.0,100.0,0.0
Julian Bashir/Lieutenant Watley,0.0,100.0,0.0,0.0,0.0
Mavek/non-cast,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Curzon Dax/Jadzia Dax,0.0,0.0,0.0,100.0,0.0
Jadzia Dax/Kilana,0.0,0.0,100.0,0.0,0.0
Kaga/non-cast,0.0,0.0,100.0,0.0,0.0
Jadzia Dax/Kasidy Yates,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Worf,0.0,100.0,0.0,0.0,0.0
Benjamin Sisko/Q,100.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Keiko O'Brien,0.0,0.0,0.0,100.0,0.0
Cox/Kira Nerys,0.0,100.0,0.0,0.0,0.0
Cox/non-cast,0.0,100.0,0.0,0.0,0.0
Dax/Elim Garak/Julian Bashir/Worf,0.0,0.0,0.0,100.0,0.0
Skrain Dukat/Weyoun/Weyoun,0.0,0.0,0.0,100.0,0.0
Weyoun/Weyoun,0.0,0.0,0.0,100.0,0.0
Kasidy Yates/Keiko O'Brien/Miles O'Brien,100.0,0.0,0.0,0.0,0.0
Boday/Julian Bashir,0.0,0.0,0.0,100.0,0.0
Bareil Antos/Morn,0.0,100.0,0.0,0.0,0.0
Bareil Antos/Benjamin Sisko/Elim Garak/Ezri Dax/Jadzia Dax/Julian Bashir/Kasidy Yates/Keiko O'Brien/Kira Nerys/Leeta/Miles O'Brien/Odo/Quark/Rom/Shakaar Edon/Worf,0.0,100.0,0.0,0.0,0.0
Curzon Dax/Elim Garak/Julian Bashir/Odo,0.0,100.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Quark,0.0,0.0,0.0,100.0,0.0
Curzon Dax/Elim Garak/Odo,0.0,100.0,0.0,0.0,0.0
Alexander Rozhenko/Jake Sisko/Nog,0.0,100.0,0.0,0.0,0.0
Ezri Dax/Kilana,0.0,100.0,0.0,0.0,0.0
Elim Garak/Ezri Dax,0.0,0.0,0.0,100.0,0.0
Elim Garak/Joseph Sisko,100.0,0.0,0.0,0.0,0.0
Elim Garak/Julian Bashir/Weyoun,0.0,0.0,100.0,0.0,0.0
Kela Idaris/non-cast,0.0,100.0,0.0,0.0,0.0
Ziranne Idaris/non-cast,0.0,100.0,0.0,0.0,0.0
Corat Damar/Elim Garak/non-cast,0.0,0.0,100.0,0.0,0.0
Julian Bashir/Winn Adami,0.0,100.0,0.0,0.0,0.0
Kira Nerys/Tekeny Ghemor,0.0,100.0,0.0,0.0,0.0
Alexander Rozhenko/Julian Bashir,0.0,100.0,0.0,0.0,0.0
Quark/Skrain Dukat,0.0,0.0,0.0,100.0,0.0
Julian Bashir/Martok/Sirella,0.0,0.0,0.0,100.0,0.0
Elim Garak/Richard Bashir,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Captain Solok,0.0,100.0,0.0,0.0,0.0
Benjamin Sisko/Curzon Dax/non-cast,0.0,100.0,0.0,0.0,0.0
Kasidy Yates/Keiko O'Brien,0.0,100.0,0.0,0.0,0.0
Benjamin Sisko/Dax,0.0,100.0,0.0,0.0,0.0
Elim Garak/Kira Nerys/Worf,0.0,0.0,0.0,100.0,0.0
Ellis Gareth/Julian Bashir,0.0,0.0,100.0,0.0,0.0
Eris/Kilana,0.0,0.0,100.0,0.0,0.0
Deral/Julian Bashir,0.0,100.0,0.0,0.0,0.0
Pel/non-cast,0.0,0.0,0.0,100.0,0.0
Gor/Weyoun,0.0,0.0,0.0,100.0,0.0
Alexander Rozhenko/Ch'Targh,0.0,0.0,100.0,0.0,0.0
Ezri Dax/Nog,0.0,0.0,0.0,100.0,0.0
Curzon Dax/Julian Bashir/Odo,0.0,0.0,0.0,100.0,0.0
Julian Bashir/Lwaxana Troi,0.0,0.0,0.0,100.0,0.0
Elim Garak/Julian Bashir/Kaga,0.0,0.0,0.0,100.0,0.0
Benjamin Sisko/Kasidy Yates/Weyoun,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Weyoun,100.0,0.0,0.0,0.0,0.0
Kasidy Yates/Weyoun,100.0,0.0,0.0,0.0,0.0
Benjamin Sisko/Ezri Dax/Kasidy Yates,0.0,0.0,0.0,100.0,0.0
Curzon Dax/Julian Bashir,0.0,100.0,0.0,0.0,0.0
Elim Garak/Keiko O'Brien/Kelas Parmak/Miles O'Brien,0.0,0.0,0.0,100.0,0.0
