relationshipspairslash,works,comments,kudos,hits,words
Jadzia Dax/Kasidy Yates,1,7,7,235,5461
Julian Bashir/Lieutenant Watley,1,20,30,132,2534
Luaran/non-cast,1,6,17,450,2535
Kaga/non-cast,1,2,9,140,1191
Benjamin Sisko/Tora Ziyal,1,13,33,692,3757
Elim Garak/Kaga,1,28,112,403,1224
Gelnon/non-cast,1,6,17,450,2535
Eris/non-cast,1,6,17,450,2535
Benjamin Sisko/Dax,1,1,19,110,2030
Kimara Cretak/T'Rul,1,13,15,333,1273
Kasidy Yates/Weyoun,1,3,12,85,2797
Kathryn Janeway/non-cast,1,3,29,566,12399
Curzon Dax/Elim Garak,1,17,68,396,3229
Deyos/non-cast,1,6,17,450,2535
Bareil Antos/Morn,1,25,65,477,11314
Kira Nerys/Weyoun,1,11,34,404,3815
Benjamin Sisko/Morn,1,0,1,37,947
Boday/Julian Bashir,1,6,30,283,19273
Weyoun/Weyoun,1,2,8,111,4237
Corat Damar/Reader,1,0,26,347,1943
Ellis Gareth/Julian Bashir,1,5,56,538,8569
Curzon Dax/non-cast,1,5,18,98,1491
Dax/Garak,1,8,37,350,3254
Torias Dax/non-cast,1,5,18,98,1491
Cox/non-cast,1,12,9,158,55120
Cox/Kira Nerys,1,12,9,158,55120
Kira Nerys/Natima Lang,1,10,25,261,5649
Pel/non-cast,1,5,10,127,7900
Leeta/Quark,1,2,10,166,428
Elim Garak/Winn Adami,1,0,7,55,2711
Emergency Medical Hologram Mark II/non-cast,1,51,192,3908,331
Ishka/Jadzia Dax,1,17,78,1298,1563
Odo/Skrain Dukat,1,12,50,2681,51517
Elim Garak/Opaka,1,2,18,352,996
Elim Garak/Luther Sloan,1,15,45,1223,27606
Lauren/non-cast,1,5,38,305,967
Jadzia Dax/Jennifer Sisko,1,3,21,566,1748
Vash/non-cast,1,11,54,1332,5256
Borath/Weyoun,1,4,31,1436,15650
Throlo Sh'shirros/ToloS | Qolar,1,51,192,3908,331
Luaran/Yelgrun,1,5,26,411,6667
Julianna/non-cast,1,158,584,18922,105177
Lantash/Sam Carter,1,158,584,18922,105177
Martouf/Sam Carter,1,158,584,18922,105177
Iliana Ghemor/Tora Ziyal,1,15,51,819,6999
Ezri Dax/Vic Fontaine,1,20,12,329,47139
Jean-Luc Picard/non-cast,1,35,168,3811,6300
Ezri Dax/Lauren,1,17,63,421,4017
Zek/background Leeta,1,114,153,2218,25878
Ezri Dax/Skrain Dukat,1,9,15,381,1863
Deyos/Weyoun,1,5,26,411,6667
Skrain Dukat/Vreenak,1,29,13,511,18931
Dax/Kira Nerys,1,1,27,544,238
Martok/Sirella,1,0,26,335,637
Elim Garak/Keevan,1,3,53,841,3577
Ryan Ross/Spencer Smith,1,12,88,2692,67918
Victoria Asher/non-cast,1,12,88,2692,67918
Mareel/Verad,1,0,5,143,191
Kira Nerys/Vic Fontaine,1,6,22,181,6741
Sikozu Svala Shanti Sugaysi Shanu/non-cast,1,23,188,3322,5754
Troy Barnes/non-cast,1,23,188,3322,5754
Alexander Rozhenko/Lauren,1,181,352,7227,74151
Dax/Jadzia Dax,1,0,14,333,200
Bareil Antos/Winn Adami,1,0,10,906,39834
William Riker/non-cast,1,13,57,1682,1998
Boday/Jadzia Dax,1,55,835,6919,4652
Jake Sisko/Laira,1,55,835,6919,4652
Jake Sisko/Mardah,1,55,835,6919,4652
Jennifer Sisko/Miles O'Brien,1,1,48,847,1580
Prinadora/Rom,1,0,3,275,1405
Lela Dax/non-cast,1,0,7,446,3128
Corat Damar/Gul Rusot,1,73,206,5494,31413
Lenara Kahn/background Grilka,1,12,37,401,3524
Julian Bashir/Tom Paris,1,9,50,1323,41781
Elim Garak/Q,1,0,6,152,10493
Elim Garak/Jack,1,7,24,180,7064
Corat Damar/Jadzia Dax,1,13,28,1026,2894
Athra Dukat/Tora Naprem,1,0,7,148,1193
Kira Nerys/Tahna Los,1,7,9,103,4133
Kira Nerys/Kira Reon,1,11,11,145,12754
Alexander Rozhenko/non-cast,1,9,20,192,2954
Kira Meru/non-cast,1,10,14,255,20877
Kira Nerys/Lenara Kahn,1,0,32,532,0
Lwaxana Troi/Mora Pol,1,2,22,506,16118
Gowron/Julian Bashir,1,3,19,332,13872
Elim Garak/Kai Winn,1,29,64,851,3431
Michael Eddington/Rebecca Sullivan,1,8,2,95,10056
Deral/Jadzia Dax,1,0,8,79,552
Kira Nerys/OFC,1,16,43,373,6318
Gowron/non-cast,1,0,30,1849,792
Dutch | Yalena Yardeen/non-cast,1,0,13,195,3214
Tuvok (Star Trek)/non-cast,1,0,12,270,31038
Elim Garak/Procal Dukat,1,22,120,553,1350
Keevan/Kilana,1,2,12,93,2955
Gerard Way/non-cast,1,4,9,134,10852
Quark/Vash,1,9,140,868,1458
Miles O'Brien/Owen Lars,1,4,15,147,1002
Bareil Antos/Julian Bashir,1,1,17,292,24232
Miles O'Brien/Worf,1,4,25,729,2576
Jadzia Dax/Jadzia Dax,1,5,25,288,596
Vislor Turlough/non-cast,1,2,10,644,2118
Lwaxana Troi/Quark,1,16,86,663,1181
Elim Garak/Morn,1,9,19,181,397
Elim Garak/Worf (Star Trek: TNG,1,10,72,471,2252
Kimara Cretak/non-cast,1,3,9,273,1835
Jack/non-cast,1,13,36,272,5061
Julian Bashir/Kukalaka,1,0,18,261,2610
Tekeny Ghemor/non-cast,1,53,39,453,13620
Kai Winn/Skrain Dukat,1,2,11,101,1083
Gilora Rejal/Nal Dejar,1,3,14,225,1239
Corat Damar/Niala Damar,1,2,17,192,1442
Kelas Parmak/Pythas Lok,1,0,37,426,878
Male OC/non-cast,1,12,122,1126,1998
justice league/non-cast,1,0,0,109,1005
Julian Bashir/Lauren,1,6,10,37,4345
