relationshipspairslash,M/M,Gen,F/M,F/F,Multi,No category,Other
Jadzia Dax/Kasidy Yates,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Kaga/non-cast,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Benjamin Sisko/Captain Solok,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Kasidy Yates/non-cast,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Elim Garak/Richard Bashir,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Benjamin Sisko/Dax,0.0,0.0,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004
Amsha Bashir/Elim Garak,33.300000000000004,0.0,33.300000000000004,0.0,33.300000000000004,0.0,0.0
Ellis Gareth/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Eris/Kilana,25.0,0.0,0.0,25.0,25.0,0.0,25.0
Kasidy Yates/Weyoun,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Deral/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Elim Garak/Winn Adami,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Julian Bashir/Lwaxana Troi,25.0,0.0,25.0,0.0,25.0,0.0,25.0
Ezri Dax/Nog,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Han Solo/Luke Skywalker,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Alexander Rozhenko/Ch'Targh,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Deyos/non-cast,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Jasper Hale/Rosalie Hale,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Curzon Dax/Elim Garak,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Benjamin Sisko/Q,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Bareil Antos/Morn,33.300000000000004,0.0,33.300000000000004,33.300000000000004,0.0,0.0,0.0
Curzon Dax/non-cast,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Torias Dax/non-cast,50.0,0.0,50.0,0.0,0.0,0.0,0.0
Boday/Julian Bashir,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Kimara Cretak/T'Rul,20.0,20.0,20.0,20.0,0.0,0.0,20.0
Kasidy Yates/Miles O'Brien,0.0,0.0,0.0,0.0,100.0,0.0,0.0
